ID,c__ID,brand,c__brandName
40256987,,,Scappino
40081786,,,
37645258,,Domenico,Domenico
40185075,,,Carolina Herrera
18887194,,,Victorinox
31046273,,Optix,Optix
39686325,,,Oakley
39622666,,,Chester & Peck
41704929,,,Tommy Hilfiger
40020934,,,Boss
40526428,,,Burberry
41741357,,,Fjällräven
40004123,,,Garrett Leight
40955940,,,Stance
41468023,,,Polo Ralph Lauren
40763661,,,Boss
40296278,,,Daniel Hechter
40134752,,,Cortefiel
39974253,,,Pineda Covalin
40020638,,,Vilebrequin
40857408,,,
40847070,,,
40660934,,,Penguin
40417881,,,Aldo
39528520,,,Kenneth Cole
40021348,,,Boss
40171051,,,Nautica
39434939,,,Franco Cuadra
39453388,,,Pineda Covalin
40250807,,,Coach
36911482,,,Pineda Covalin
40856519,,,
38558439,,,
40430819,,,Adidas
40416505,,,Lacoste
40768053,,,Michael Kors
12345844,,,Ralph Lauren
40386885,,,Steve Madden
40462251,,,Michael Kors
40031390,,,Ray Ban
40256929,,,
40020728,,,Boss
39868186,,,Armani
39137733,,,Thomas Sabo
40481545,,,Boggi
40094666,,,Joe S
40290328,,,Polo Ralph Lauren
41758385,,,Happy Socks
40528885,,,Salvatore Ferragamo
40567786,,,Salvatore Ferragamo
42120461,,,Boss
39888309,,,Scalpers
40025063,,,Lacoste
40649030,,,Ermenegildo Zegna
39598480,,,Montblanc
40081944,,,Boggi
41758379,,,Happy Socks
39852364,,,Ermenegildo Zegna
40280912,,,Ted Baker
40028513,,,Salvatore Ferragamo
40419294,,,Nautica
40660419,,,Penguin
40534545,,,Paul & Shark
36922754,,,Pineda Covalin
40561340,,,Chester & Peck
17413584,,,Salvatore Ferragamo
37408086,,,Ermenegildo Zegna
40363427,,,Ermenegildo Zegna
40415040,,,Punto Blanco
36803637,,,Tane
40785164,,,Springfield
40454189,,,Calvin Klein
39150522,,,Michel Domit
40861332,,,Pertegaz
38372963,,,Polo Ralph Lauren
40481462,,,Boggi
37562358,,,Polo Ralph Lauren
40790149,,,Burberry
40225168,,,Polo Ralph Lauren
38552813,,,Salvatore Ferragamo
39546990,,,Snob Milano
40163743,,,Epsilon
39689535,,,Polo Ralph Lauren
40571818,,,Boss
40464979,,,Hugo Boss
40050846,,,Nautica
40256945,,,
39985769,,,7 For All Mankind
16454614,,,
39646806,,,Boss
38624607,,,Guess
39868781,,,Calvin Klein
40543345,,,Tommy Hilfiger
40922814,,,Diesel
39831258,,,Montblanc
38826001,,,Ermenegildo Zegna
40560327,,,Boss
39113049,,,Joe S
40137198,,,The North Face
40050631,,,Nautica
36380460,,,Polo Ralph Lauren
40468925,,,Calvin Klein
40653628,,,Adolfo Dominguez
38596928,,,Salvatore Ferragamo
38644496,,,Coach
39658752,,,Salvatore Ferragamo
38089998,,,Chester & Peck
39488668,,,Thomas Sabo
38442771,,,Deciem
40780014,,,
40084782,,,The Kooples
40840862,,,
38596389,,,Dunhill
40625732,,,Aldo
40567865,,,Salvatore Ferragamo
40516492,,,Paul Smith
40443822,,,
40799249,,,Ted Baker
40303676,,,AllSaints
39580222,,,Psycho Bunny
40757936,,,Polo Ralph Lauren
39734947,,,Dockers
36217687,,,Polo Ralph Lauren
40755529,,,Brooks Brothers
39262994,,,Gucci
11168766,,,Levi's
39732227,,,Original Penguin
40536953,,,Coach
38497447,,,Aurora
38527152,,,Joseph Abboud
39870559,,,Coach
39892127,,,Boss
40214870,,,AllSaints
40375122,,,Aldo
40442825,,,Tane
40155792,,,
40005171,,,Cuadra
40235243,,,Quirelli
30529485,,,Polo Ralph Lauren
40441148,,,
40103226,,,Perry Ellis
38531843,,,Ermenegildo Zegna
40430654,,,Adidas Originals
39982303,,,Pantherella
40171039,,,Nautica
40545411,,,Salvatore Ferragamo
40800092,,,Polo Ralph Lauren
40290310,,,Polo Ralph Lauren
39137428,,,Thomas Sabo
40021445,,,Boss
40457863,,,Aldo
39980820,,,Pal Zileri
40441091,,,
40652497,,,Armani Exchange
38691730,,,Bottega Veneta
40460967,,,Michael Kors
39525015,,,Florentino
40170776,,,Alfani
