ID,c__ID,brand,c__brandName 
40256987,,Scappino,Scappino
40081786,,,
37645258,,Domenico,Domenico
40185075,,Carolina Herrera,Carolina Herrera
18887194,,Victorinox,Victorinox
31046273,,Optix,Optix
39686325,,Oakley,Oakley
39622666,,Chester & Peck,Chester & Peck
41704929,,Tommy Hilfiger,Tommy Hilfiger
40020934,,Boss,Boss
40526428,,Burberry,Burberry
41741357,,Fjällräven,Fjällräven
40004123,,Garrett Leight,Garrett Leight
40955940,,Stance,Stance
41468023,,Polo Ralph Lauren,Polo Ralph Lauren
40763661,,Boss,Boss
40296278,,Daniel Hechter,Daniel Hechter
40134752,,Cortefiel,Cortefiel
39974253,,Pineda Covalin,Pineda Covalin
40020638,,Vilebrequin,Vilebrequin
40857408,,,
40847070,,,
40660934,,Penguin,Penguin
40417881,,Aldo,Aldo
39528520,,Kenneth Cole,Kenneth Cole
40021348,,Boss,Boss
40171051,,Nautica,Nautica
39434939,,Franco Cuadra,Franco Cuadra
39453388,,Pineda Covalin,Pineda Covalin
40250807,,Coach,Coach
36911482,,Pineda Covalin,Pineda Covalin
40856519,,,
38558439,,,
40430819,,Adidas,Adidas
40416505,,Lacoste,Lacoste
40768053,,Michael Kors,Michael Kors
12345844,,Ralph Lauren,Ralph Lauren
40386885,,Steve Madden,Steve Madden
40462251,,Michael Kors,Michael Kors
40031390,,Ray Ban,Ray Ban
40256929,,,
40020728,,Boss,Boss
39868186,,Armani,Armani
39137733,,Thomas Sabo,Thomas Sabo
40481545,,Boggi,Boggi
40094666,,Joe S,Joe S
40290328,,Polo Ralph Lauren,Polo Ralph Lauren
41758385,,Happy Socks,Happy Socks
40528885,,Salvatore Ferragamo,Salvatore Ferragamo
40567786,,Salvatore Ferragamo,Salvatore Ferragamo
42120461,,Boss,Boss
39888309,,Scalpers,Scalpers
40025063,,Lacoste,Lacoste
40649030,,Ermenegildo Zegna,Ermenegildo Zegna
39598480,,Montblanc,Montblanc
40081944,,Boggi,Boggi
41758379,,Happy Socks,Happy Socks
39852364,,Ermenegildo Zegna,Ermenegildo Zegna
40280912,,Ted Baker,Ted Baker
40028513,,Salvatore Ferragamo,Salvatore Ferragamo
40419294,,Nautica,Nautica
40660419,,Penguin,Penguin
40534545,,Paul & Shark,Paul & Shark
36922754,,Pineda Covalin,Pineda Covalin
40561340,,Chester & Peck,Chester & Peck
17413584,,Salvatore Ferragamo,Salvatore Ferragamo
37408086,,Ermenegildo Zegna,Ermenegildo Zegna
40363427,,Ermenegildo Zegna,Ermenegildo Zegna
40415040,,Punto Blanco,Punto Blanco
36803637,,Tane,Tane
40785164,,Springfield,Springfield
40454189,,Calvin Klein,Calvin Klein
39150522,,Michel Domit,Michel Domit
40861332,,Pertegaz,Pertegaz
38372963,,Polo Ralph Lauren,Polo Ralph Lauren
40481462,,Boggi,Boggi
37562358,,Polo Ralph Lauren,Polo Ralph Lauren
40790149,,Burberry,Burberry
40225168,,Polo Ralph Lauren,Polo Ralph Lauren
38552813,,Salvatore Ferragamo,Salvatore Ferragamo
39546990,,Snob Milano,Snob Milano
40163743,,Epsilon,Epsilon
39689535,,Polo Ralph Lauren,Polo Ralph Lauren
40571818,,Boss,Boss
40464979,,Hugo Boss,Hugo Boss
40050846,,Nautica,Nautica
40256945,,,
39985769,,7 For All Mankind,7 For All Mankind
16454614,,,
39646806,,Boss,Boss
38624607,,Guess,Guess
39868781,,Calvin Klein,Calvin Klein
40543345,,Tommy Hilfiger,Tommy Hilfiger
40922814,,Diesel,Diesel
39831258,,Montblanc,Montblanc
38826001,,Ermenegildo Zegna,Ermenegildo Zegna
40560327,,Boss,Boss
39113049,,Joe S,Joe S
40137198,,The North Face,The North Face
40050631,,Nautica,Nautica
36380460,,Polo Ralph Lauren,Polo Ralph Lauren
40468925,,Calvin Klein,Calvin Klein
40653628,,Adolfo Dominguez,Adolfo Dominguez
38596928,,Salvatore Ferragamo,Salvatore Ferragamo
38644496,,Coach,Coach
39658752,,Salvatore Ferragamo,Salvatore Ferragamo
38089998,,Chester & Peck,Chester & Peck
39488668,,Thomas Sabo,Thomas Sabo
38442771,,Deciem,Deciem
40780014,,,
40084782,,The Kooples,The Kooples
40840862,,,
38596389,,Dunhill,Dunhill
40625732,,Aldo,Aldo
40567865,,Salvatore Ferragamo,Salvatore Ferragamo
40516492,,Paul Smith,Paul Smith
40443822,,,
40799249,,Ted Baker,Ted Baker
40303676,,AllSaints,AllSaints
39580222,,Psycho Bunny,Psycho Bunny
40757936,,Polo Ralph Lauren,Polo Ralph Lauren
39734947,,Dockers,Dockers
36217687,,Polo Ralph Lauren,Polo Ralph Lauren
40755529,,Brooks Brothers,Brooks Brothers
39262994,,Gucci,Gucci
11168766,,Levi's,Levi's
39732227,,Original Penguin,Original Penguin
40536953,,Coach,Coach
38497447,,Aurora,Aurora
38527152,,Joseph Abboud,Joseph Abboud
39870559,,Coach,Coach
39892127,,Boss,Boss
40214870,,AllSaints,AllSaints
40375122,,Aldo,Aldo
40442825,,Tane,Tane
40155792,,,
40005171,,Cuadra,Cuadra
40235243,,Quirelli,Quirelli
30529485,,Polo Ralph Lauren,Polo Ralph Lauren
40441148,,,
40103226,,Perry Ellis,Perry Ellis
38531843,,Ermenegildo Zegna,Ermenegildo Zegna
40430654,,Adidas Originals,Adidas Originals
39982303,,Pantherella,Pantherella
40171039,,Nautica,Nautica
40545411,,Salvatore Ferragamo,Salvatore Ferragamo
40800092,,Polo Ralph Lauren,Polo Ralph Lauren
40290310,,Polo Ralph Lauren,Polo Ralph Lauren
39137428,,Thomas Sabo,Thomas Sabo
40021445,,Boss,Boss
40457863,,Aldo,Aldo
39980820,,Pal Zileri,Pal Zileri
40441091,,,
40652497,,Armani Exchange,Armani Exchange
38691730,,Bottega Veneta,Bottega Veneta
40460967,,Michael Kors,Michael Kors
39525015,,Florentino,Florentino
40170776,,Alfani,Alfani
38176850,,Title Of Work,Title Of Work
40197528,,Pompeii,Pompeii
41664940,,Fila,Fila
40603523,,Pepe Jeans,Pepe Jeans
40062695,,Fluchos,Fluchos
37225015,,Boss,Boss
40044710,,Samsonite,Samsonite
40549486,,Lacoste,Lacoste
39700504,,Dockers,Dockers
40906598,,Pal Zileri,Pal Zileri
40271011,,Scalpers,Scalpers
38869202,,Toni Pons,Toni Pons
30370328,,K-Swiss,K-Swiss
40597875,,Stance,Stance
40635081,,Emporio Armani,Emporio Armani
39686024,,Armani,Armani
40479085,,Fjällräven,Fjällräven
39966838,,Havaianas,Havaianas
40799248,,Ted Baker,Ted Baker
40557393,,Salvatore Ferragamo,Salvatore Ferragamo
40161448,,Salvatore Ferragamo,Salvatore Ferragamo
40535765,,Calvin Klein,Calvin Klein
36943613,,Pineda Covalin,Pineda Covalin
38797498,,Nautica,Nautica
40551008,,Lacoste,Lacoste
37157455,,Ezpeleta,Ezpeleta
38837198,,Ted Baker,Ted Baker
38800787,,Pineda Covalin,Pineda Covalin
39120173,,Levi's,Levi's
38593343,,K-Swiss,K-Swiss
40788712,,Boss,Boss
40400781,,Cuadra,Cuadra
40584723,,Diesel,Diesel
40655610,,Adolfo Dominguez,Adolfo Dominguez
40021103,,Giorgio Armani,Giorgio Armani
40352117,,,
40362325,,Julio de Mucha,Julio de Mucha
40561527,,Fluchos,Fluchos
37371450,,Ermenegildo Zegna,Ermenegildo Zegna
40181643,,,
38622709,,Cufflinks Inc,Cufflinks Inc
40756133,,Frame,Frame
40752910,,Calderoni,Calderoni
40861060,,Call It Spring,Call It Spring
40577900,,,
38359350,,Ray Ban,Ray Ban
40422609,,Calvin Klein,Calvin Klein
42180143,,Flexi,Flexi
40556915,,Salvatore Ferragamo,Salvatore Ferragamo
39416434,,Pepe Jeans,Pepe Jeans
40551133,,Daniel Hechter,Daniel Hechter
40553751,,Tommy Hilfiger,Tommy Hilfiger
40555801,,Boggi,Boggi
40485572,,Chester & Peck,Chester & Peck
